xmin,ymax,xmax,ymin,lon,lat,area,Piping_Plover,Red_Knot,Roseate_Tern
-67.49984412,44.26902266,-66.99984412,43.76902266,-67.24984412,44.01902266,2227.260721,1,1,1
-71.49984412,40.76902266,-70.99984412,40.26902266,-71.24984412,40.51902266,2352.57865,0,0,0
-71.49984412,39.76902266,-70.99984412,39.26902266,-71.24984412,39.51902266,2386.760033,1,1,1
-71.49984412,40.26902266,-70.99984412,39.76902266,-71.24984412,40.01902266,2369.761136,0,0,0
-71.49984412,39.26902266,-70.99984412,38.76902266,-71.24984412,39.01902266,2403.574192,1,1,1
-70.99984412,40.76902266,-70.49984412,40.26902266,-70.74984412,40.51902266,2352.57865,0,0,0
-70.99984412,41.26902266,-70.49984412,40.76902266,-70.74984412,41.01902266,2335.213742,0,0,0
-70.99984412,39.76902266,-70.49984412,39.26902266,-70.74984412,39.51902266,2386.760033,1,1,1
-70.99984412,40.26902266,-70.49984412,39.76902266,-70.74984412,40.01902266,2369.761136,0,0,0
-70.99984412,39.26902266,-70.49984412,38.76902266,-70.74984412,39.01902266,2403.574192,1,1,1
-71.99984412,40.76902266,-71.49984412,40.26902266,-71.74984412,40.51902266,2352.57865,0,0,0
-71.99984412,39.76902266,-71.49984412,39.26902266,-71.74984412,39.51902266,2386.760033,0,0,0
-71.99984412,40.26902266,-71.49984412,39.76902266,-71.74984412,40.01902266,2369.761136,0,0,0
-71.99984412,39.26902266,-71.49984412,38.76902266,-71.74984412,39.01902266,2403.574192,0,0,0
-75.49984412,38.76902266,-74.99984412,38.26902266,-75.24984412,38.51902266,2420.202481,0,0,0
-74.99984412,38.76902266,-74.49984412,38.26902266,-74.74984412,38.51902266,2420.202481,0,0,0
-75.99984412,37.76902266,-75.49984412,37.26902266,-75.74984412,37.51902266,2452.89699,0,0,0
-75.49984412,37.76902266,-74.99984412,37.26902266,-75.24984412,37.51902266,2452.89699,0,0,0
-75.49984412,38.26902266,-74.99984412,37.76902266,-75.24984412,38.01902266,2436.643781,0,0,0
-75.99984412,36.76902266,-75.49984412,36.26902266,-75.74984412,36.51902266,2484.834814,0,0,0
-75.99984412,37.26902266,-75.49984412,36.76902266,-75.74984412,37.01902266,2468.961024,0,0,0
-75.99984412,36.26902266,-75.49984412,35.76902266,-75.74984412,36.01902266,2500.517304,0,0,0
-74.49984412,39.76902266,-73.99984412,39.26902266,-74.24984412,39.51902266,2386.760033,0,0,0
-74.49984412,39.26902266,-73.99984412,38.76902266,-74.24984412,39.01902266,2403.574192,0,0,0
-73.99984412,39.76902266,-73.49984412,39.26902266,-73.74984412,39.51902266,2386.760033,0,0,0
-75.49984412,39.26902266,-74.99984412,38.76902266,-75.24984412,39.01902266,2403.574192,0,0,0
-75.49984412,36.76902266,-74.99984412,36.26902266,-75.24984412,36.51902266,2484.834814,0,0,0
-75.49984412,37.26902266,-74.99984412,36.76902266,-75.24984412,37.01902266,2468.961024,0,0,0
-75.49984412,35.76902266,-74.99984412,35.26902266,-75.24984412,35.51902266,2516.007459,1,1,1
-75.49984412,36.26902266,-74.99984412,35.76902266,-75.24984412,36.01902266,2500.517304,0,0,0
-75.49984412,35.26902266,-74.99984412,34.76902266,-75.24984412,35.01902266,2531.304256,1,1,1
-74.99984412,37.76902266,-74.49984412,37.26902266,-74.74984412,37.51902266,2452.89699,0,0,0
-74.99984412,38.26902266,-74.49984412,37.76902266,-74.74984412,38.01902266,2436.643781,0,0,0
-74.99984412,36.76902266,-74.49984412,36.26902266,-74.74984412,36.51902266,2484.834814,0,0,0
-74.99984412,37.26902266,-74.49984412,36.76902266,-74.74984412,37.01902266,2468.961024,0,0,0
-74.99984412,35.76902266,-74.49984412,35.26902266,-74.74984412,35.51902266,2516.007459,1,1,1
-74.99984412,36.26902266,-74.49984412,35.76902266,-74.74984412,36.01902266,2500.517304,0,0,0
-72.99984412,40.76902266,-72.49984412,40.26902266,-72.74984412,40.51902266,2352.57865,0,0,0
-72.99984412,41.26902266,-72.49984412,40.76902266,-72.74984412,41.01902266,2335.213742,0,0,0
-72.49984412,40.76902266,-71.99984412,40.26902266,-72.24984412,40.51902266,2352.57865,0,0,0
-73.49984412,40.26902266,-72.99984412,39.76902266,-73.24984412,40.01902266,2369.761136,0,0,0
-72.99984412,36.76902266,-72.49984412,36.26902266,-72.74984412,36.51902266,2484.834814,1,1,1
-72.99984412,37.26902266,-72.49984412,36.76902266,-72.74984412,37.01902266,2468.961024,1,1,1
-72.99984412,35.76902266,-72.49984412,35.26902266,-72.74984412,35.51902266,2516.007459,1,1,1
-72.99984412,36.26902266,-72.49984412,35.76902266,-72.74984412,36.01902266,2500.517304,1,1,1
-72.99984412,35.26902266,-72.49984412,34.76902266,-72.74984412,35.01902266,2531.304256,1,1,1
-73.99984412,35.76902266,-73.49984412,35.26902266,-73.74984412,35.51902266,2516.007459,1,1,1
-73.99984412,36.26902266,-73.49984412,35.76902266,-73.74984412,36.01902266,2500.517304,1,1,1
-73.99984412,35.26902266,-73.49984412,34.76902266,-73.74984412,35.01902266,2531.304256,1,1,1
-73.49984412,36.76902266,-72.99984412,36.26902266,-73.24984412,36.51902266,2484.834814,1,1,1
-73.49984412,35.76902266,-72.99984412,35.26902266,-73.24984412,35.51902266,2516.007459,1,1,1
-73.49984412,36.26902266,-72.99984412,35.76902266,-73.24984412,36.01902266,2500.517304,1,1,1
-73.49984412,35.26902266,-72.99984412,34.76902266,-73.24984412,35.01902266,2531.304256,1,1,1
-72.49984412,37.76902266,-71.99984412,37.26902266,-72.24984412,37.51902266,2452.89699,1,1,1
