Species,Jan,JanSD,Feb,FebSD,Mar,MarSD,Apr,AprSD,May,MaySD,Jun,JunSD,Jul,JulSD,Aug,AugSD,Sep,SepSD,Oct,OctSD,Nov,NovSD,Dec,DecSD
Piping_Plover,0,0,0,0,4578,0,4578,0,4578,0,4578,0,4578,0,7423,0,7423,0,7423,0,0,0,0,0
Red_Knot,10400,0,10400,0,10400,0,10400,0,59200,0,59200,0,59200,0,59200,0,72520,0,54720,0,41400,0,10400,0
Roseate_Tern,0,0,0,0,0,0,10916,0,10916,0,10916,0,16251,0,16251,0,16251,0,16251,0,0,0,0,0
