Run,Num_Turbines,TurbineModel_MW,Num_Blades,RotorRadius_m,RotorRadiusSD_m,HubHeightAdd_m,HubHeightAddSD_m,BladeWidth_m,BladeWidthSD_m,WindSpeed_mps,WindSpeedSD_mps,Pitch,PitchSD,WFWidth_km,Latitude,Longitude,JanOp,JanOpMean,JanOpSD,FebOp,FebOpMean,FebOpSD,MarOp,MarOpMean,MarOpSD,AprOp,AprOpMean,AprOpSD,MayOp,MayOpMean,MayOpSD,JunOp,JunOpMean,JunOpSD,JulOp,JulOpMean,JulOpSD,AugOp,AugOpMean,AugOpSD,SepOp,SepOpMean,SepOpSD,OctOp,OctOpMean,OctOpSD,NovOp,NovOpMean,NovOpSD,DecOp,DecOpMean,DecOpSD
1,150,8,3,82,0,28,0,5.3,0,12.5,0,2,0.1,24,40.709,-71.2739,96.28,6.3,2,96.53,6.3,2,95.83,6.3,2,92.78,6.3,2,90.86,6.3,2,92.22,6.3,2,89.11,6.3,2,89.92,6.3,2,93.71,6.3,2,96.14,6.3,2,97.14,6.3,2,96.41,6.3,2
2,80,15,3,120,0,30,0,5.77,0,10.59,0,2,0.1,24,40.709,-71.2739,96.28,6.3,2,96.53,6.3,2,95.83,6.3,2,92.78,6.3,2,90.86,6.3,2,92.22,6.3,2,89.11,6.3,2,89.92,6.3,2,93.71,6.3,2,96.14,6.3,2,97.14,6.3,2,96.41,6.3,2
