"Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
NA,NA,NA,NA,NA,NA,NA,0.78125,1.21875,0.25,0.84375,NA
NA,NA,NA,NA,NA,NA,NA,0.6,0.725,0.35,0.825,NA
NA,NA,NA,NA,NA,NA,NA,0.490196078431373,0.862745098039216,0.176470588235294,0.529411764705882,NA
NA,NA,NA,NA,NA,NA,NA,0.381818181818182,0.563636363636364,0.236363636363636,0.527272727272727,NA
NA,NA,NA,NA,NA,NA,NA,0.563636363636364,0.618181818181818,0.327272727272727,0.472727272727273,NA
NA,NA,NA,NA,NA,NA,NA,0.59375,1.1875,0.53125,0.84375,NA
NA,NA,NA,NA,NA,NA,NA,0.375,0.85,0.3,0.55,NA
NA,NA,NA,NA,NA,NA,NA,0.607843137254902,0.549019607843137,0.235294117647059,0.588235294117647,NA
NA,NA,NA,NA,NA,NA,NA,0.345454545454545,0.763636363636364,0.236363636363636,0.436363636363636,NA
NA,NA,NA,NA,NA,NA,NA,0.272727272727273,0.6,0.527272727272727,0.509090909090909,NA
NA,NA,NA,NA,NA,NA,NA,0.78125,1.34375,0.71875,0.6875,NA
NA,NA,NA,NA,NA,NA,NA,0.575,0.8,0.5,0.725,NA
NA,NA,NA,NA,NA,NA,NA,0.333333333333333,0.529411764705882,0.411764705882353,0.549019607843137,NA
NA,NA,NA,NA,NA,NA,NA,0.672727272727273,0.618181818181818,0.272727272727273,0.490909090909091,NA
NA,NA,NA,NA,NA,NA,NA,0.4,0.709090909090909,0.4,0.454545454545455,NA
NA,NA,NA,NA,NA,NA,NA,0.6875,1.3125,0.375,1.03125,NA
NA,NA,NA,NA,NA,NA,NA,0.575,0.65,0.25,0.825,NA
NA,NA,NA,NA,NA,NA,NA,0.411764705882353,0.568627450980392,0.470588235294118,0.490196078431373,NA
NA,NA,NA,NA,NA,NA,NA,0.218181818181818,0.636363636363636,0.418181818181818,0.490909090909091,NA
NA,NA,NA,NA,NA,NA,NA,0.472727272727273,0.581818181818182,0.236363636363636,0.654545454545455,NA
NA,NA,NA,NA,NA,NA,NA,0.75,1,0.4375,0.84375,NA
NA,NA,NA,NA,NA,NA,NA,0.4,0.65,0.175,0.525,NA
NA,NA,NA,NA,NA,NA,NA,0.392156862745098,0.627450980392157,0.411764705882353,0.509803921568627,NA
NA,NA,NA,NA,NA,NA,NA,0.418181818181818,0.436363636363636,0.309090909090909,0.563636363636364,NA
NA,NA,NA,NA,NA,NA,NA,0.363636363636364,0.472727272727273,0.363636363636364,0.509090909090909,NA
NA,NA,NA,NA,NA,NA,NA,0.5,0.90625,0.6875,1.21875,NA
NA,NA,NA,NA,NA,NA,NA,0.725,0.675,0.15,0.8,NA
NA,NA,NA,NA,NA,NA,NA,0.431372549019608,0.666666666666667,0.215686274509804,0.666666666666667,NA
NA,NA,NA,NA,NA,NA,NA,0.709090909090909,0.618181818181818,0.218181818181818,0.618181818181818,NA
NA,NA,NA,NA,NA,NA,NA,0.418181818181818,0.618181818181818,0.436363636363636,0.6,NA
NA,NA,NA,NA,NA,NA,NA,0.875,0.75,0.3125,0.84375,NA
NA,NA,NA,NA,NA,NA,NA,0.525,0.7,0.35,0.7,NA
NA,NA,NA,NA,NA,NA,NA,0.529411764705882,0.392156862745098,0.509803921568627,0.803921568627451,NA
NA,NA,NA,NA,NA,NA,NA,0.763636363636364,0.436363636363636,0.236363636363636,0.509090909090909,NA
NA,NA,NA,NA,NA,NA,NA,0.509090909090909,0.527272727272727,0.236363636363636,0.763636363636364,NA
NA,NA,NA,NA,NA,NA,NA,0.625,0.625,0.59375,1.21875,NA
NA,NA,NA,NA,NA,NA,NA,0.925,0.6,0.225,0.675,NA
NA,NA,NA,NA,NA,NA,NA,0.352941176470588,0.352941176470588,0.313725490196078,0.607843137254902,NA
NA,NA,NA,NA,NA,NA,NA,0.781818181818182,0.545454545454545,0.272727272727273,0.472727272727273,NA
NA,NA,NA,NA,NA,NA,NA,0.327272727272727,0.563636363636364,0.290909090909091,0.454545454545455,NA
NA,NA,NA,NA,NA,NA,NA,1,0.84375,0.5,1,NA
NA,NA,NA,NA,NA,NA,NA,0.45,0.825,0.525,0.825,NA
NA,NA,NA,NA,NA,NA,NA,0.568627450980392,1.05882352941176,0.686274509803922,0.529411764705882,NA
NA,NA,NA,NA,NA,NA,NA,0.345454545454545,0.6,0.2,0.690909090909091,NA
NA,NA,NA,NA,NA,NA,NA,0.418181818181818,0.527272727272727,0.163636363636364,0.309090909090909,NA
NA,NA,NA,NA,NA,NA,NA,0.5625,0.75,0.21875,0.875,NA
NA,NA,NA,NA,NA,NA,NA,0.375,0.675,0.45,0.4,NA
NA,NA,NA,NA,NA,NA,NA,0.411764705882353,0.607843137254902,0.333333333333333,0.568627450980392,NA
NA,NA,NA,NA,NA,NA,NA,0.381818181818182,0.527272727272727,0.163636363636364,0.327272727272727,NA
NA,NA,NA,NA,NA,NA,NA,0.272727272727273,0.436363636363636,0.0909090909090909,0.363636363636364,NA
NA,NA,NA,NA,NA,NA,NA,0.53125,1.03125,0.34375,1,NA
NA,NA,NA,NA,NA,NA,NA,0.325,0.7,0.25,0.55,NA
NA,NA,NA,NA,NA,NA,NA,0.725490196078431,0.705882352941177,0.215686274509804,0.431372549019608,NA
NA,NA,NA,NA,NA,NA,NA,0.327272727272727,0.472727272727273,0.254545454545455,0.345454545454545,NA
NA,NA,NA,NA,NA,NA,NA,0.345454545454545,0.436363636363636,0.218181818181818,0.436363636363636,NA
NA,NA,NA,NA,NA,NA,NA,0.5625,0.5625,0.28125,1.0625,NA
NA,NA,NA,NA,NA,NA,NA,0.275,0.75,0.35,0.6,NA
NA,NA,NA,NA,NA,NA,NA,0.274509803921569,0.509803921568627,0.137254901960784,0.470588235294118,NA
NA,NA,NA,NA,NA,NA,NA,0.490909090909091,0.727272727272727,0.163636363636364,0.527272727272727,NA
NA,NA,NA,NA,NA,NA,NA,0.418181818181818,0.309090909090909,0.145454545454545,0.672727272727273,NA
